Date,Open,High,Low,Close,Adj Close,Volume
2023-06-22,1641021240,1727336792,1638225708,1720381592,1720381592,10672928282
2023-06-23,1719278320,1757462891,1704046997,1709579346,1709579346,7738210454
2023-06-24,1709212158,1775774414,1712897217,1733956299,1733956299,7594617939
2023-06-25,1734789795,1745283569,1711008789,1718564453,1718564453,4604242911
2023-06-26,1718371582,1767132813,1713792236,1742589233,1742589233,6361124170
2023-06-27,1742171265,1745982788,1687193848,1704361694,1704361694,7900844979
2023-06-28,1704282349,1744080933,1702030029,1724545166,1724545166,7014289800
2023-06-29,1724730591,1725006592,1668944092,1674513062,1674513062,6536259518
2023-06-30,1674593750,1725385254,1674593750,1704364014,1704364014,5224015452
2023-07-01,1704162598,1782773926,1678193237,1770897827,1770897827,11812584980
2023-07-02,1771021362,1779611694,1750432861,1762998657,1762998657,4705574457
2023-07-03,1762890747,1794552612,1735780640,1776218384,1776218384,5816066006
2023-07-04,1776626709,1810507324,1774475342,1791750366,1791750366,7200861896
2023-07-05,1791874146,1802500244,1775741211,1779586182,1779586182,5222537891
2023-07-06,1779736084,1784780762,1740725830,1760010742,1760010742,5558529526
2023-07-07,1759853271,1799973389,1696846191,1697567749,1697567749,8177300004
2023-07-08,1696535645,1719172607,1682253662,1705353516,1705353516,5897423836
2023-07-09,1705717773,1707084839,1681533081,1700583008,1700583008,3918876682
2023-07-10,1700633545,1712551392,1694056519,1698355103,1698355103,4004618111
2023-07-11,1698565186,1732218262,1686841064,1708733765,1708733765,5757517805
2023-07-12,1708823242,1713954590,1695983643,1705457764,1705457764,4453758711
2023-07-13,1705445068,1710632446,1675566162,1680428101,1680428101,5725860473
2023-07-14,1680362061,1793740601,1673540039,1787733521,1787733521,9902956982
2023-07-15,1786998169,1805354614,1693614746,1724855347,1724855347,9452053560
2023-07-16,1724661865,1731873413,1716003784,1718922241,1718922241,3898086624
2023-07-17,1719080933,1728323975,1706309204,1713231079,1713231079,3855680428
2023-07-18,1713242188,1724512695,1667589478,1701282837,1701282837,5943213617
2023-07-19,1701328125,1704376587,1675446777,1689996216,1689996216,5178561897
2023-07-20,1690172607,1710601929,1681085571,1685854614,1685854614,5371229530
2023-07-21,1685913330,1716716675,1690112427,1698283081,1698283081,6616165371
2023-07-22,1698832886,1712039063,1694564575,1699561035,1699561035,4193173157
2023-07-23,1699448730,1704099121,1666975220,1675798950,1675798950,3685408643
2023-07-24,1676861084,1711357300,1670997437,1698073486,1698073486,4027328267
2023-07-25,1697729980,1697754517,1658025635,1672237183,1672237183,5734749057
2023-07-26,1672260620,1691468018,1666913940,1681200684,1681200684,3767735544
2023-07-27,1681159668,1702128052,1670156128,1689970703,1689970703,5218916797
2023-07-28,1689904175,1693566772,1690066162,1694577026,1694577026,3908929425
2023-07-29,1694891602,1704504395,1691988770,1699456299,1699456299,3445582330
2023-07-30,1699289063,1709232300,1695457642,1705188965,1705188965,2263804461
2023-07-31,1705010010,1707192871,1680182007,1688730591,1688730591,3631198386
2023-08-01,1688831665,1701844849,1684192993,1687910522,1687910522,3993535525
2023-08-02,1687935791,1701544678,1658307373,1700420288,1700420288,6935850970
2023-08-03,1701942749,1706853271,1664460083,1680551025,1680551025,5892618409
2023-08-04,1680375732,1694876099,1671527588,1675764038,1675764038,4301490660
2023-08-05,1675539429,1675865967,1650778809,1657649780,1657649780,4408918455
2023-08-06,1657727417,1665587402,1655015015,1664247803,1664247803,2599372418
2023-08-07,1664118408,1665391479,1655177124,1660956543,1660956543,2693391260
2023-08-08,1660754150,1675029907,1641050537,1660427979,1660427979,5305805736
2023-08-09,1660420898,1710479614,1661561401,1693353638,1693353638,5304009670
2023-08-10,1693328247,1702567139,1681377686,1689207642,1689207642,5347462577
2023-08-11,1689253784,1687863403,1680511475,1685305298,1685305298,3424152095
2023-08-12,1685294678,1689202759,1679363037,1685870361,1685870361,3060306011
2023-08-13,1685913818,1690576904,1684587891,1687481812,1687481812,2091109642
2023-08-14,1687631470,1697158813,1676680908,1680732422,1680732422,2791313875
2023-08-15,1680771973,1695450195,1677985474,1690699707,1690699707,3743518529
2023-08-16,1690679932,1692110596,1665590088,1675481934,1675481934,4112211086
2023-08-17,1675576904,1677282715,1653626343,1660420776,1660420776,4576282703
2023-08-18,1660336670,1663131958,1427413208,1549456421,1549456421,13066030679
2023-08-19,1546794189,1561379395,1513226318,1525272461,1525272461,8857235495
2023-08-20,1525179932,1554918457,1518964355,1533102783,1533102783,4473329698
2023-08-21,1533209106,1556680176,1527069092,1549216431,1549216431,3774587592
2023-08-22,1549372925,1549428467,1517475464,1529907837,1529907837,4658949121
2023-08-23,1529917114,1531166260,1471942749,1506362427,1506362427,6679158563
2023-08-24,1506831787,1561319458,1501905029,1545505127,1545505127,6618971399
2023-08-25,1545481079,1548131104,1517582397,1537173462,1537173462,4726995634
2023-08-26,1537474609,1543697021,1515694336,1531206421,1531206421,4999541315
2023-08-27,1531198975,1532913330,1522663086,1525066162,1525066162,2244790090
2023-08-28,1525033936,1537072021,1524691895,1535163696,1535163696,2430369670
2023-08-29,1535095947,1535811646,1506128784,1526422852,1526422852,4485247941
2023-08-30,1526253662,1606061646,1519342773,1591389160,1591389160,10400794708
2023-08-31,1591343994,1592290771,1554459595,1560088989,1560088989,4596611091
2023-09-01,1560319824,1583131714,1507890137,1517782837,1517782837,6080905036
2023-09-02,1517729492,1525702148,1485852417,1509609741,1509609741,5658874751
2023-09-03,1509673218,1524014771,1509132202,1517520874,1517520874,2728705910
2023-09-04,1517537720,1525374878,1506075684,1516543701,1516543701,2921526443
2023-09-05,1516179443,1523161743,1499314575,1510151001,1510151001,3602860264
2023-09-06,1510388062,1536394043,1493222412,1523233521,1523233521,4118971051
2023-09-07,1523497192,1544514771,1502717407,1522063843,1522063843,4650712834
2023-09-08,1522073730,1549005615,1518251587,1540235718,1540235718,4587516539
2023-09-09,1540431519,1546737915,1511680420,1528070923,1528070923,4294764868
2023-09-10,1527989380,1528755371,1522021851,1527159790,1527159790,1944134362
2023-09-11,1527205933,1527412720,1497293213,1508721191,1508721191,4049343624
2023-09-12,1508666016,1510542847,1426552979,1443711914,1443711914,7158557861
2023-09-13,1443581787,1509980835,1442237793,1480887695,1480887695,6336545736
2023-09-14,1481318237,1504656738,1473011353,1498187012,1498187012,4639446058
2023-09-15,1498227173,1538326416,1498083008,1529793579,1529793579,5208111020
2023-09-16,1529695557,1548289429,1511743042,1538474731,1538474731,4075306658
2023-09-17,1538293091,1546298462,1529981812,1532459473,1532459473,2642385318
2023-09-18,1532440186,1532312134,1516060425,1521267700,1521267700,2842801501
2023-09-19,1521441284,1565870239,1508792480,1531304199,1531304199,5533481346
2023-09-20,1531271484,1553029663,1522880615,1538683228,1538683228,4124765616
2023-09-21,1538636963,1543574951,1508827393,1523813110,1523813110,4841631813
2023-09-22,1523532593,1528589355,1476643555,1486162354,1486162354,4870114879
2023-09-23,1485876831,1504785645,1482000854,1494087402,1494087402,3245357355
2023-09-24,1494035645,1498526123,1489455566,1494640137,1494640137,1970622244
2023-09-25,1494610107,1499360596,1480656372,1484590454,1484590454,2898513321
2023-09-26,1484490967,1506342773,1472382324,1499630859,1499630859,4149518038
2023-09-27,1499347900,1507605469,1494558472,1507611694,1507611694,3353970387
2023-09-28,1507319336,1547839600,1510978638,1520645508,1520645508,5266874928
2023-09-29,1520817627,1575748901,1520054321,1564800659,1564800659,6303282436
2023-09-30,1564911499,1590476807,1558689331,1576457153,1576457153,5226384175
2023-10-01,1576353760,1599695801,1575152832,1579498535,1579498535,2982224415
2023-10-02,1579498291,1656796997,1580350342,1641190308,1641190308,4784848481
2023-10-03,1640407959,1650547974,1570759766,1587438354,1587438354,8034916859
2023-10-04,1586731934,1595526001,1573709106,1582520752,1582520752,4530505152
2023-10-05,1582568848,1583063232,1553663208,1568361206,1568361206,4880219211
2023-10-06,1568313721,1573254883,1528166138,1527987427,1527987427,5123795704
2023-10-07,1527882446,1566588745,1527882446,1553582642,1553582642,4664253980
2023-10-08,1553563232,1555802979,1539731689,1542896973,1542896973,2434442319
2023-10-09,1543034790,1549194092,1526369995,1545977295,1545977295,3137813947
2023-10-10,1545888550,1549743896,1473820679,1493388062,1493388062,6636749820
